Id,Last
1,0
2,725161963867
4,9
5,453
6,31
9,1461
10,6421735434293662
12,7564280930105062064128
14,10576607847561078339796992
17,2795903786354347606016
19,1
22,32855719753
25,170
27,-6777866008029815635968
29,9
30,3
31,122
32,-48620
33,-1
37,0
38,13995414281804369448738521874432
39,123
42,1
43,9113030337194776068096
45,1
47,12907
48,0
50,1
54,152
55,157
56,377599345119560794112
58,142
60,766582546402667520
62,3
68,1
70,0
71,187
74,4
78,5873945233705
79,154
80,1
81,610975075883240128512
83,6
84,87960930222080
85,280
87,16893568584074416
88,0
90,96147057896403
93,14049351313802047488
96,325
97,0
98,1
99,4722366482869645213696
101,2856800670438221006835226863562915840
103,1
106,3
114,335
115,37022
116,71
117,2
120,791
121,34799613911106289664
122,233
124,267786673
125,1
127,16
128,521
129,3655980234829231292416
131,1
138,23
140,1
142,387
143,1152921504606846976
144,1670
145,1868853595451745
146,2
148,10981857825124725555200
151,126765060022822824041242427392
153,502
154,1
156,-8306718039292070795935744
157,311
161,1
169,0
170,750
172,257
173,204
175,54902437211098592
180,1
182,1
183,136
184,9701946058631970
187,467
189,838829650246380552192
191,1
193,606
194,100160105
195,0
196,226257606
197,123
199,109
200,15148651417782595820191744
201,1
206,1444444444441
207,21818291842511736
209,9
214,5469191608792975360
216,269
218,-1854063629803901241262080
228,234
230,389
231,1
232,50
233,3
234,1
235,774
236,0
239,5662052980
240,1
243,4
247,15373
248,5309617272615751
250,0
252,1
253,16
257,1
260,0
261,9
265,1
267,121645100408832000
269,21
270,0
273,1366284435462423040
274,0
279,49
281,23
283,466063500543300352
285,92470734734
287,90486
291,551343268152723114392721293312
292,1
301,456432182550333751296
307,7770488166051562389504
309,5438674473932192731126300672
312,1
314,1451983503000530394793904586516070400
316,2
321,464092875294121262149100621159989248
322,3
324,2147483676
325,320
330,0
331,3
333,3
337,40548366802944000
338,187
341,1
342,2
343,769246866811235658550501965824
344,21
345,25836869372608512
346,1
348,53
349,78502725751
351,37
353,1
355,87260245701154896
356,896
357,-0
358,1
360,3
362,135085171767299216
363,447362835296127408840483612175368192
364,3
365,149057
367,97
368,11608392697739886
369,3
370,1
371,349276052222114529280
375,102
376,103
380,210
381,187
382,184
383,953
384,187
385,3
388,37
389,7438887113266980
390,2750105392841508028346793984
391,1534674653372294822066543680139133190144
393,1
396,6
397,1
398,50
399,0
401,2600
402,1
404,630916661388096569344
405,2333521433367183360
407,3
409,16
411,5169676076559297
412,53
413,2
414,-35879
416,106929
417,0
418,38280596832649216
419,1
422,0
423,535885387802465271808
424,5
427,9
432,5
433,139
435,1
440,23
442,1
445,7
446,127
449,272
450,1180610
452,1210107565283851685068800
453,28644458404800643072
454,572204589843750
456,56
457,4751
459,12
460,7
462,1208925819614629174706176
465,79
468,1510236415306298880
471,0
472,44013282517959416
473,2
474,13082761331670030
476,531
478,9
480,3
481,0
482,101
484,0
485,269
